id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Estimated_Offers,Adjusted_Offers,Final_Offers
9405,1.56,GemEx,SI1,F,Excellent,,,7.41x7.42x4.63,Excellent,South Africa,Round,Excellent,,2,,16211.992857142857,16211.992857142857,0.0
9406,0.87,AGSL,VS2,D,Very good,58.0,,6.33x6.4x3.69,Very good,Australia,Emerald,Very good,61.0,3,,7600.165,7600.165,0.0
9407,0.43,AGSL,SI2,E,Very good,63.9,,4.72x4.76x3.03,Excellent,Russia,Princess,Very good,56.0,1,,1092.2391666666667,1092.2391666666667,0.0
9408,1.53,,SI2,I,Excellent,61.0,,7.43x7.39x4.52,Excellent,Russia,Round,Excellent,,1,,10433.095,10433.095,0.0
9409,1.24,AGSL,VVS2,I,Excellent,59.7,,7.01x7.03x4.19,Excellent,Russia,Round,Very good,60.0,2,,8893.633333333333,8893.633333333333,0.0
9410,1.09,AGSL,SI2,E,Excellent,62.4,,6.57x6.59x4.1,Excellent,Botswana,Emerald,Excellent,,1,,8876.445,8876.445,0.0
9411,1.24,AGSL,SI1,I,Very good,59.0,,6.98x7.06x4.14,Very good,Russia,Round,Very good,64.0,2,,8634.308333333334,8634.308333333334,0.0
9412,1.23,AGSL,VS1,J,Very good,64.2,,6.67x6.7x4.29,Excellent,Russia,Round,Excellent,,4,,7369.645833333334,7369.645833333334,0.0
9413,1.23,AGSL,VS1,J,Excellent,,,6.83x6.86x4.27,Excellent,Angola,Round,Excellent,56.0,2,,7406.1125,0.0,0.0
9414,0.71,AGSL,SI1,E,Excellent,62.0,False,5.68x5.72x3.54,Excellent,Botswana,Round,Excellent,56.0,2,,3473.221893939394,3473.221893939394,0.0
9415,1.01,,VS2,J,Excellent,61.4,,6.41x6.51x3.97,Very good,Russia,Radiant,Very good,59.0,1,,5399.504345238095,5399.504345238095,0.0
9416,1.01,AGSL,I1,G,Excellent,60.5,,6.5x6.52x3.94,Excellent,Canada,Princess,Excellent,,2,,5048.875000000001,5048.875000000001,0.0
9417,0.56,AGSL,SI1,G,Excellent,62.7,,5.23x5.26x3.29,Excellent,Canada,Round,Excellent,,1,,1781.5,1781.5,0.0
9418,2.01,AGSL,SI2,I,Very good,63.6,,8.01x7.96x5.08,Very good,Australia,Round,Excellent,55.0,3,,21138.84,21138.84,0.0
9419,0.91,AGSL,SI2,G,Very good,63.4,,6.14x6.18x3.9,Excellent,Russia,Radiant,Very good,54.0,2,,5046.566666666667,5046.566666666667,0.0
9420,1.22,AGSL,SI1,G,Excellent,62.5,,6.81x6.83x4.26,Excellent,Botswana,Princess,Excellent,55.0,2,,9988.25,9988.25,0.0
9421,0.42,AGSL,VS2,I,Excellent,61.1,,4.83x4.86x2.96,Excellent,South Africa,Round,Excellent,56.0,1,,958.775,958.775,0.0
9422,0.42,AGSL,SI2,E,Excellent,62.3,,4.75x4.8x2.98,Very good,Australia,Round,Very good,,1,,975.1258333333333,975.1258333333333,0.0
9423,1.22,AGSL,SI2,G,Very good,58.3,,6.99x7.01x4.09,Very good,Australia,Princess,Very good,,3,,8659.276666666667,8659.276666666667,0.0
9424,2.0,AGSL,SI1,J,Very good,64.1,,7.83x7.95x5.06,Excellent,Botswana,Round,Very good,,2,,17032.875,17032.875,0.0
9425,2.0,AGSL,SI2,J,Very good,,,7.79x7.85x5.05,Excellent,Russia,Round,Excellent,,2,,16521.24166666667,16521.24166666667,0.0
9426,2.86,AGSL,VS1,M,Excellent,61.3,,9.07x9.13x5.58,Excellent,Russia,Emerald,Excellent,60.0,4,,39788.12916666667,39788.12916666667,0.0
9427,0.67,AGSL,VS1,I,Very good,57.2,,5.78x5.87x3.33,Good,South Africa,Round,Good,60.0,2,,2585.0,2585.0,0.0
9428,2.8,AGSL,VS1,I,Excellent,61.2,,9.08x9.11x5.56,Excellent,Russia,Round,Excellent,60.0,2,,40367.1,40367.1,0.0
9429,0.81,AGSL,SI1,E,Excellent,62.1,False,5.97x5.98x3.71,Excellent,Botswana,Round,Excellent,56.0,1,,4602.922123015872,4602.922123015872,0.0
9430,0.81,AGSL,SI2,D,Excellent,62.2,,5.92x5.97x3.7,Excellent,South Africa,Round,Excellent,,1,,4322.904166666666,4322.904166666666,0.0
9431,0.81,AGSL,SI1,G,Very good,62.4,,5.97x5.94x3.72,Excellent,Russia,Radiant,Excellent,58.0,1,,3795.4,3795.4,0.0
9432,1.21,AGSL,VS1,G,Excellent,61.7,,6.82x6.86x4.22,Excellent,Russia,Round,Excellent,58.0,2,,11389.870158730158,11389.870158730158,0.0
9433,1.21,AGSL,SI2,E,Excellent,62.6,,6.77x6.81x4.25,Excellent,Russia,Princess,Excellent,,2,,10010.73,10010.73,0.0
9434,1.21,AGSL,SI1,I,Excellent,60.4,,6.87x6.91x4.16,Excellent,Russia,Round,Excellent,59.0,2,,8869.745,8869.745,0.0
9435,1.21,AGSL,SI2,D,Excellent,62.2,,6.83x6.85x4.25,Excellent,Russia,Round,Excellent,55.0,3,,10173.55,10173.55,0.0
9436,1.21,AGSL,SI2,J,Excellent,62.5,,6.81x6.83x4.26,Excellent,Russia,Round,Excellent,,3,,6613.665,6613.665,0.0
9437,2.7,AGSL,VS1,I,Excellent,62.6,,8.86x8.91x5.56,Excellent,Australia,Oval,Excellent,56.0,2,,37435.05,37435.05,0.0
9438,1.93,AGSL,SI1,G,Very good,,,7.9x7.93x4.95,Excellent,Botswana,Round,Excellent,58.0,2,,23076.45,23076.45,0.0
9439,0.5,AGSL,SI2,F,Very good,62.8,,5.02x5.05x3.16,Very good,Russia,Round,Excellent,60.0,1,,1410.1298412698409,1410.1298412698409,0.0
9440,0.5,AGSL,SI1,F,Very good,63.3,,5x5.03x3.17,Very good,Canada,Round,Excellent,,2,,1641.978571428571,1641.978571428571,0.0
9441,0.5,AGSL,SI2,D,Good,63.0,,5x5.02x3.15,Very good,Canada,Round,Good,,1,,1507.6330952380952,1507.6330952380952,0.0
9442,0.5,AGSL,SI2,E,Excellent,62.0,,5.13x5.15x3.19,Excellent,South Africa,Round,Excellent,54.0,1,,1485.3861904761904,1485.3861904761904,0.0
9443,3.01,AGSL,SI2,I,Excellent,,,9.47x9.48x5.53,Excellent,Angola,Round,Excellent,61.0,2,,39733.2,0.0,0.0
9444,3.0,AGSL,VS2,I,Very good,60.3,False,9.21x9.4x5.61,Very good,Botswana,Radiant,Good,61.0,2,,52107.45,0.0,0.0
9445,0.71,AGSL,I1,G,Good,63.4,,5.62x5.65x3.57,Excellent,South Africa,Round,Good,63.0,1,,2494.29,2494.29,0.0
9446,0.71,AGSL,SI2,H,Very good,,,5.75x5.66x3.53,Good,Russia,Round,Good,57.0,1,,2539.6821428571434,2539.6821428571434,0.0
9447,0.71,AGSL,VS2,I,Excellent,,False,5.74x5.7x3.5,Excellent,Other/Unknown,Round,Excellent,61.0,1,,2803.875,2803.875,0.0
9448,1.05,AGSL,VS2,H,Good,58.1,,6.62x6.69x3.87,Good,Canada,Round,Good,,2,,7854.576666666666,7854.576666666666,0.0
9449,1.01,AGSL,SI1,G,Excellent,60.7,,6.46x6.51x3.93,Excellent,Canada,Radiant,Very good,61.0,1,,7399.904166666666,7399.904166666666,0.0
9450,1.01,,SI1,L,Very good,60.1,,6.46x6.44x3.88,Very good,Botswana,Round,Excellent,60.0,1,,4382.55,4382.55,0.0
9451,1.01,AGSL,SI2,H,Excellent,60.5,,6.49x6.52x3.93,Excellent,Russia,Princess,Excellent,60.0,2,,5545.208419642362,5545.208419642362,0.0
9452,1.01,,SI2,G,Excellent,,,6.39x6.42x4.01,Excellent,Botswana,Round,Very good,57.0,1,,6482.323312590187,6482.323312590187,0.0
9453,1.01,AGSL,SI2,H,Excellent,,,6.37x6.43x4.02,Excellent,Russia,Princess,Very good,57.0,1,,5545.208419642362,5545.208419642362,0.0
9454,1.01,AGSL,SI2,I,Very good,63.2,,6.37x6.33x4.01,Very good,Other/Unknown,Radiant,Excellent,56.0,2,,4225.062635918003,4225.062635918003,0.0
9455,1.07,AGSL,VS1,T,Very good,60.0,False,6.6x6.67x3.98,Good,Botswana,Round,Very good,59.0,1,,7640.191666666667,7640.191666666667,0.0
9456,1.07,AGSL,SI2,I,Excellent,60.7,,6.6x6.63x4.01,Excellent,Australia,Emerald,Excellent,59.0,1,,5455.814999999999,5455.814999999999,0.0
9457,1.07,AGSL,SI2,H,Excellent,60.4,,6.59x6.63x3.99,Excellent,Botswana,Radiant,Excellent,61.0,3,,7081.213333333332,7081.213333333332,0.0
9458,0.54,AGSL,SI1,H,Very good,62.6,False,5.13x5.16x3.22,Very good,Russia,Round,Very good,59.0,1,,1680.0666666666668,1680.0666666666668,0.0
9459,2.73,AGSL,SI2,J,Very good,,False,8.88x8.83x5.61,Very good,Russia,Oval,Excellent,,4,,30551.3,30551.3,0.0
9460,2.64,AGSL,VS1,I,Excellent,63.0,,8.77x8.85x5.55,Excellent,Russia,Radiant,Excellent,55.0,2,,41814.03,41814.03,0.0
9461,0.54,AGSL,VS1,F, ,63.7,,5.16x5.11x3.27,Good,Canada,Radiant,Good,55.0,1,,2336.0525,2336.0525,0.0
9462,0.54,AGSL,VS1,K,Very good,62.7,,5.19x5.18x3.25,Excellent,DR Congo,Princess,Excellent,57.0,1,,1276.65,0.0,0.0
9463,0.54,GemEx,VS2,I,Very good,59.9,,5.34x5.28x3.18,Excellent,South Africa,Round,Excellent,58.0,1,,1629.6333333333334,1629.6333333333334,0.0
9464,1.9,AGSL,SI1,I,Very good,63.0,,7.81x7.82x4.92,Very good,Botswana,Emerald,Very good,59.0,2,,17926.65,17926.65,0.0
9465,2.24,AGSL,VS1,H,Excellent,61.8,,8.37x8.4x5.18,Excellent,Botswana,Round,Excellent,57.0,2,,33941.41,33941.41,0.0
9466,1.51,AGSL,SI1,H,Excellent,62.8,,7.29x7.33x4.59,Excellent,Russia,Round,Excellent,57.0,3,,14940.11083333333,14940.11083333333,0.0
9467,1.51,,SI2,J,Very good,63.8,,7.15x7.22x4.59,Very good,Other/Unknown,Round,Very good,57.0,4,,10607.280833333332,10607.280833333332,0.0
9468,1.51,AGSL,SI2,I,Very good,,,7.13x7.18x4.59,Excellent,Russia,Round,Excellent,57.0,2,,9493.861904761905,9493.861904761905,0.0
9469,1.21,AGSL,SI2,H,Excellent,63.1,,6.75x6.79x4.27,Excellent,Russia,Round,Very good,,3,,7227.94875,7227.94875,0.0
9470,1.21,,SI2,H,Very good,59.4,,6.96x6.99x4.15,Excellent,Canada,ROUND,Excellent,58.0,4,,7460.147916666665,7460.147916666665,0.0
9471,1.06,GemEx,SI2,I,Very good,62.9,False,6.48x6.44x4.06,Excellent,DR Congo,Round,Excellent,55.0,2,,5449.317500000001,0.0,0.0
9472,2.59,AGSL,SI2,E,Excellent,,,8.82x8.54x5.44,Excellent,Botswana,Oval ,Excellent,,4,,47658.025,0.0,0.0
9473,5.01,AGSL,SI2,K,Very good,62.0,,10.85x10.93x6.75,Excellent,South Africa,Marquise,Very good,58.0,2,,99898.25,0.0,0.0
9474,2.54,,SI2,I,Excellent,61.9,,8.73x8.75x5.41,Excellent,DR Congo,Emerald,Excellent,,2,,28231.2,0.0,0.0
9475,0.63,AGSL,VVS1,F,Excellent,59.0,,5.58x5.67x3.32,Very good,Russia,Round,Very good,,1,,2856.2,2856.2,0.0
9476,0.63,AGSL,VS1,D,Very good,58.5,,5.61x5.68x3.31,Very good,Botswana,Round,Good,63.0,2,,2934.6,2934.6,0.0
9477,0.63,AGSL,VS2,K,Good,60.3,,5.49x5.56x3.33,Good,South Africa,Round,Good,,1,,1502.115,1502.115,0.0
9478,2.53,AGSL,SI2,J,Very good,,,8.5x8.58x5.49,Excellent,Australia,Princess,Very good,59.0,2,,27591.95,27591.95,0.0
9479,0.8,AGSL,SI2,F,Very good,,,5.9x5.88x3.69,Very good,Australia,Round,Very good,59.0,2,,3800.6545833333325,3800.6545833333325,0.0
9480,0.8,AGSL,SI2,E,Very good,63.1,,5.83x5.87x3.69,Very good,Russia,Emerald,Very good,59.0,1,,3058.1958333333337,3058.1958333333337,0.0
9481,1.06,AGSL,VS2,G, ,62.0,,6.56x6.53x4.06,Very good,Other/Unknown,Round,Excellent,56.0,2,,9188.795833333334,9188.795833333334,0.0
9482,1.2,AGSL,SI1,G,Excellent,62.1,,6.79x6.83x4.23,Very good,South Africa,Pear,Excellent,56.0,4,,11862.641666666668,11862.641666666668,0.0
9483,1.2,AGSL,SI2,J,Excellent,,,6.79x6.82x4.24,Excellent,Botswana,Asscher,Excellent,,2,,5932.486666666665,5932.486666666665,0.0
9484,1.2,GemEx,SI2,J,Very good,62.6,,6.75x6.73x4.22,Excellent,Russia,Pear,Excellent,56.0,2,,6536.778214285715,6536.778214285715,0.0
9485,1.51,AGSL,SI2,E,Excellent,60.4,,7.43x7.39x4.48,Very good,Russia,Round,Excellent,60.0,2,,16740.61666666667,16740.61666666667,0.0
9486,1.0,AGSL,SI2,F,Excellent,60.6,,6.44x6.49x3.92,Excellent,Angola,Princess,Very good,57.0,2,,5987.5431547619055,0.0,0.0
9487,1.0,AGSL,SI2,H,Excellent,,,6.42x6.39x3.98,Very good,Russia,Round,Excellent,,3,,5532.4428030303025,5532.4428030303025,0.0
9488,1.0,AGSL,SI2,I,Excellent,62.8,,6.37x6.4x4.01,Excellent,South Africa,Round,Excellent,55.0,1,,4722.892083333334,4722.892083333334,0.0
9489,1.0,GemEx,VS1,G,Excellent,,,6.32x6.38x4,Very good,South Africa,Round,Very good,55.0,2,,7449.55,7449.55,0.0
9490,1.0,GemEx,SI1,E,Very good,,,6.27x6.33x4,Very good,Australia,Round,Very good,,2,,7092.287658730159,7092.287658730159,0.0
9491,1.0,AGSL,SI2,E,Good,64.8,,6.23x6.28x4.06,Excellent,Australia,Oval ,Good,,1,,5367.707916666667,5367.707916666667,0.0
9492,1.0,AGSL,SI1,E,Very good,61.9,,6.37x6.44x3.96,Very good,Australia,Emerald,Good,53.0,4,,7092.287658730159,7092.287658730159,0.0
9493,1.0,AGSL,VVS2,K,Very good,58.0,,6.53x6.56x3.8,Very good,Russia,Round,Good,62.0,1,,6269.75,6269.75,0.0
9494,1.0,AGSL,SI2,F,Very good,58.8,,6.51x6.56x3.85,Very good,DR Congo,Emerald,Excellent,,2,,5561.8267857142855,0.0,0.0
9495,1.0,AGSL,SI2,H,Very good,,,6.41x6.45x3.9,Excellent,Australia,Emerald,Very good,,3,,5137.577738095239,5137.577738095239,0.0
9496,1.0,AGSL,SI1,E,Very good,62.4,True,6.32x6.38x3.97,Excellent,Angola,Radiant,Very good,58.0,3,,7226.000476190477,0.0,0.0
9497,0.41,AGSL,SI1,H,Excellent,62.8,,4.75x4.77x2.99,Excellent,Canada,Princess,Excellent,56.0,1,,911.0227777777778,911.0227777777778,0.0
9498,0.41,AGSL,SI2,D,Excellent,,True,4.78x4.8x2.95,Very good,DR Congo,Radiant,Excellent,,1,,1121.3999999999999,0.0,0.0
9499,0.41,AGSL,SI1,H,Excellent,,False,4.81x4.84x2.92,Excellent,Russia,Marquise,Excellent,58.0,1,,912.8652976190477,912.8652976190477,0.0
9500,0.41,GemEx,VVS2,M,Excellent,,,4.87x4.91x2.94,Excellent,Canada,Round,Excellent,59.0,1,,613.65,613.65,0.0
9501,1.86,AGSL,VS2,G, ,62.6,,7.78x7.83x4.89,Very good,Australia,Princess,Excellent,,2,,25508.05,25508.05,0.0
9502,2.58,AGSL,VVS2,F,Good,57.4,,9.14x9.21x5.26,Very good,South Africa,Radiant,Good,58.0,4,,54278.8,0.0,0.0
9503,2.79,AGSL,SI1,G,Excellent,62.5,,8.93x8.97x5.59,Excellent,Australia,Marquise,Excellent,57.0,2,,41324.21666666667,41324.21666666667,0.0
9504,1.25,AGSL,SI2,J,Excellent,63.1,,6.89x6.85x4.33,Excellent,Botswana,Cushion,Excellent,,2,,7264.216666666667,7264.216666666667,0.0
9505,0.43,AGSL,VS1,H,Excellent,61.6,,4.87x4.84x2.99,Excellent,Australia,Round,Excellent,57.0,1,,1117.15,1117.15,0.0
9506,0.43,AGSL,VS2,J,Excellent,61.9,,4.87x4.82x3,Excellent,Canada,Round,Excellent,58.0,1,,861.65,861.65,0.0
9507,2.01,,SI2,H,Excellent,,,8.12x8.17x4.98,Excellent,Russia,Princess,Excellent,,2,,21480.53147546897,21480.53147546897,0.0
9508,2.01,AGSL,SI1,H,Excellent,62.3,False,8.03x8.08x5.02,Excellent,Russia,Princess,Excellent,59.0,2,,25752.908571428572,25752.908571428572,0.0
9509,1.36,AGSL,VS2,L,Excellent,58.0,False,7.05x7.21x4.14,Good,DR Congo,Round,Fair,43.0,3,,6875.0025,0.0,0.0
9510,1.66,AGSL,VS1,G,Excellent,62.2,False,7.54x7.58x4.7,Excellent,Russia,Round,Excellent,57.0,2,,25867.7,25867.7,0.0
9511,1.02,AGSL,SI2,H,Very good,,,6.6x6.61x3.9,Excellent,Botswana,Round,Very good,,3,,5782.094166666666,5782.094166666666,0.0
9512,1.3,AGSL,VS1,F,Very good,60.0,,7.05x7.08x4.24,Very good,Russia,Round,Good,62.0,3,,16122.8625,16122.8625,0.0
9513,1.89,AGSL,IF,D,Excellent,62.4,,7.88x7.95x4.94,Excellent,DR Congo,Round,Excellent,,2,,44763.95,0.0,0.0
9514,1.89,AGSL,SI1,I,Excellent,59.8,,8.03x8.06x4.81,Excellent,South Africa,Princess,Excellent,60.0,2,,17390.55,17390.55,0.0
9515,3.06,AGSL,SI2,H,Very good,62.2,,9.24x9.3x5.77,Excellent,Australia,Round,Very good,,2,,48694.0,0.0,0.0
9516,5.06,AGSL,SI2,K,Very good,63.9,,10.74x10.84x6.9,Excellent,Canada,Round,Very good,,2,,80691.95,0.0,0.0
9517,0.63,AGSL,SI2,F,Excellent,61.3,False,5.52x5.47x3.37,Excellent,Russia,Round,Excellent,59.0,2,,1879.291666666667,1879.291666666667,0.0
9518,0.63,AGSL,VS1,E,Good,59.8,,5.52x5.59x3.32,Good,Russia,Round,Good,,1,,3212.4142857142856,3212.4142857142856,0.0
9519,0.43,AGSL,SI1,D,Very good,59.3,,4.98x4.95x2.95,Very good,Australia,Pear,Very good,60.0,1,,1271.5000000000002,1271.5000000000002,0.0
9520,0.43,AGSL,SI1,H,Very good,,False,5.01x4.97x2.95,Very good,Other/Unknown,Oval,Excellent,62.0,1,,964.0050000000001,964.0050000000001,0.0
9521,0.43,AGSL,VS2,E,Very good,58.2,,4.92x4.96x2.87,Very good,Russia,Round,Good,,1,,1375.725,1375.725,0.0
9522,1.77,AGSL,VS1,F,Excellent,62.5,,7.68x7.73x4.82,Excellent,Russia,Round,Excellent,58.0,2,,30756.05,30756.05,0.0
9523,3.51,AGSL,SI1,I,Excellent,,False,9.92x9.94x5.89,Excellent,DR Congo,Oval,Excellent,60.0,2,,60394.05,0.0,0.0
9524,0.61,,SI1,D,Excellent,62.6,,5.42x5.45x3.4,Excellent,Botswana,Round,Excellent,56.0,1,,2476.0781349206345,2476.0781349206345,0.0
9525,1.76,AGSL,VVS1,J,Excellent,,,7.76x7.79x4.77,Excellent,Canada,Emerald,Excellent,,4,,15662.2,15662.2,0.0
9526,1.05,GemEx,SI2,H,Excellent,62.0,,6.5x6.47x4.02,Excellent,DR Congo,Round,Excellent,,1,,6389.9075,0.0,0.0
9527,0.8,AGSL,SI1,D,Very good,63.5,,5.83x5.81x3.68,Excellent,Botswana,Round,Excellent,56.0,1,,4788.532499999998,4788.532499999998,0.0
9528,0.8,,SI1,E,Very good,,,5.96x5.93x3.66,Very good,Angola,Round,Very good,,1,,4274.889476911977,0.0,0.0
9529,0.8,GemEx,VS1,F,Excellent,,,6x5.96x3.65,Very good,Russia,ROUND,Excellent,,1,,5351.85,5351.85,0.0
9530,2.04,AGSL,SI1,J,Excellent,62.3,,8.12x8.09x5.05,Excellent,Botswana,Radiant,Excellent,56.0,2,,18844.766666666666,18844.766666666666,0.0
9531,0.62,,SI1,E,Excellent,61.9,,5.48x5.49x3.4,Excellent,Russia,Round,Excellent,,1,,2443.6533333333336,2443.6533333333336,0.0
9532,0.62,AGSL,SI1,F,Very good,61.4,,5.42x5.45x3.34,Very good,DR Congo,Round,Excellent,57.0,1,,2262.065,0.0,0.0
9533,1.85,AGSL,SI1,F,Excellent,62.3,,7.8x7.83x4.87,Excellent,Russia,Emerald,Excellent,56.0,2,,21857.3,21857.3,0.0
9534,1.85,AGSL,VS2,D,Excellent,62.4,,7.8x7.85x4.88,Excellent,Canada,Round,Excellent,56.0,2,,32608.25,32608.25,0.0
9535,1.85,AGSL,VS1,E,Excellent,62.4,,7.81x7.85x4.88,Excellent,Russia,Emerald,Excellent,59.0,2,,35753.85,35753.85,0.0
9536,1.85,AGSL,I1,H,Good,59.5,,7.89x7.99x4.72,Good,Botswana,Round,Good,66.0,2,,21963.6,21963.6,0.0
9537,2.31,AGSL,SI2,J,Excellent,62.3,,8.41x8.45x5.25,Excellent,Australia,Emerald,Excellent,57.0,2,,20456.4,20456.4,0.0
9538,0.8,GemEx,SI1,F,Excellent,62.9,,5.92x5.9x3.72,Excellent,DR Congo,Round,Excellent,55.0,1,,3775.873333333334,0.0,0.0
9539,0.52,AGSL,SI2,F,Excellent,63.1,False,5.1x5.13x3.23,Excellent,Angola,Marquise,Excellent,54.0,1,,1534.0963095238094,0.0,0.0
9540,3.02,AGSL,SI2,D,Excellent,62.9,,9.19x9.27x5.8,Excellent,Canada,Round,Very good,55.0,2,,62701.65,0.0,0.0
9541,3.02,AGSL,VS1,G,Excellent,61.1,,9.31x9.33x5.69,Excellent,Canada,Round,Excellent,,2,,74221.71666666666,0.0,0.0
9542,3.02,AGSL,VS2,H,Excellent,62.0,,9.23x9.27x5.73,Excellent,Canada,Round,Excellent,,2,,68986.675,0.0,0.0
9543,0.7,AGSL,VS1,I,Very good,63.2,,5.55x5.62x3.53,Very good,Botswana,Round,Very good,56.0,2,,2727.8375,2727.8375,0.0
9544,0.79,AGSL,VS2,F,Excellent,62.9,,5.9x5.84x3.69,Excellent,Zimbabwe,Round,Excellent,58.0,1,,3819.983333333333,0.0,0.0
9545,1.75,AGSL,VS2,H,Excellent,61.5,,7.7x7.75x4.75,Excellent,South Africa,Asscher,Excellent,58.0,2,,18194.061666666665,18194.061666666665,0.0
9546,1.75,AGSL,SI1,I,Excellent,,False,7.67x7.71x4.79,Excellent,Russia,Asscher,Excellent,,4,,15903.695833333333,15903.695833333333,0.0
9547,1.75,AGSL,VS2,H,Excellent,60.5,,7.78x7.82x4.72,Excellent,South Africa,Round,Excellent,,2,,18194.061666666665,18194.061666666665,0.0
9548,0.61,AGSL,VS2,J,Excellent,,,5.56x5.54x3.29,Excellent,Botswana,Round,Very good,,1,,1484.8511904761906,1484.8511904761906,0.0
9549,0.61,AGSL,VS2,I,Very good,63.6,,5.31x5.35x3.39,Excellent,South Africa,Pear,Excellent,56.0,1,,1988.3766666666666,1988.3766666666666,0.0
9550,0.79,AGSL,VS2,D,Excellent,61.6,False,5.92x5.98x3.67,Very good,Botswana,Marquise,Very good,58.0,3,,5235.554166666667,5235.554166666667,0.0
9551,0.79,AGSL,SI1,F,Very good,57.9,,6.07x6.16x3.54,Very good,Botswana,Round,Good,59.0,1,,3395.95,3395.95,0.0
9552,1.2,AGSL,SI2,E,Excellent,62.2,,6.74x6.79x4.21,Excellent,Botswana,Round,Very good,60.0,2,,10602.516666666668,10602.516666666668,0.0
9553,1.2,AGSL,SI2,I,Very good,62.9,True,6.69x6.72x4.22,Excellent,DR Congo,Round,Very good,57.0,2,,7831.557876984127,0.0,0.0
9554,0.5,AGSL,SI1,H,Good,61.5,,5.02x5.04x3.09,Good,DR Congo,Round,Good,,1,,1443.685873015873,0.0,0.0
9555,0.5,GemEx,VS2,E,Good,62.0,,5.07x5.1x3.15,Very good,Other/Unknown,Round,Very good,,2,,1924.5137698412695,1924.5137698412695,0.0
9556,0.5,AGSL,SI1,K,Very good,61.7,,5.07x5.08x3.13,Excellent,Russia,Emerald,Very good,60.0,1,,1044.45,1044.45,0.0
9557,0.5,AGSL,SI2,G,Excellent,61.2,,5.11x5.09x3.12,Excellent,Botswana,Emerald,Excellent,58.0,1,,1392.270833333333,1392.270833333333,0.0
9558,0.5,AGSL,SI2,D,Very good,62.4,,5.1x5.08x3.18,Excellent,Russia,Radiant,Excellent,52.0,1,,1515.6313780663781,1515.6313780663781,0.0
9559,0.5,AGSL,VS2,H,Very good,62.5,,5.03x5.07x3.16,Very good,Botswana,Round,Very good,,1,,1636.7,1636.7,0.0
9560,3.29,AGSL,SI1,G,Excellent,61.4,,9.55x9.59x5.87,Excellent,Russia,Princess,Excellent,58.0,2,,71974.0,0.0,0.0
9561,1.81,AGSL,SI1,G,Excellent,62.2,,7.75x7.85x4.84,Excellent,Botswana,ROUND,Excellent,59.0,3,,22124.45,22124.45,0.0
9562,1.81,AGSL,VS1,E,Excellent,59.9,,7.9x7.94x4.75,Excellent,Russia,Emerald,Excellent,60.0,2,,36535.65,36535.65,0.0
9563,0.78,AGSL,SI2,D,Very good,62.5,,5.82x5.88x3.66,Excellent,Botswana,Round,Very good,,1,,4107.420833333334,4107.420833333334,0.0
9564,1.0,AGSL,VS2,G,Excellent,,,6.46x6.4x3.98,Very good,Canada,Radiant,Very good,,2,,7765.322023809525,7765.322023809525,0.0
9565,0.79,AGSL,SI2,H,Very good,59.1,,6.03x6x3.56,Excellent,Australia,Round,Excellent,63.0,1,,2608.2675,2608.2675,0.0
9566,3.03,AGSL,SI2,H,Excellent,61.8,False,9.24x9.26x5.72,Excellent,Other/Unknown,Emerald,Excellent,60.0,2,,45453.8,0.0,0.0
9567,3.03,GemEx,I1,K,Good,65.8,,8.9x8.92x5.86,Very good,DR Congo,Round,Excellent,61.0,4,,34753.9,0.0,0.0
9568,1.01,AGSL,VS2,H,Very good,62.8,,6.38x6.33x3.99,Excellent,DR Congo,Marquise,Excellent,59.0,2,,8109.3025,0.0,0.0
9569,1.01,AGSL,SI2,H,Good,64.1,,6.27x6.23x4.01,Excellent,Russia,Pear,Very good,59.0,1,,5545.208419642362,5545.208419642362,0.0
9570,1.01,AGSL,SI2,G,Excellent,62.5,,6.43x6.38x4,Excellent,South Africa,Pear,Excellent,58.0,2,,5743.420714285715,5743.420714285715,0.0
9571,1.01,AGSL,SI1,F,Very good,63.3,False,6.35x6.31x4.01,Excellent,Angola,Princess,Good,58.0,2,,8346.928095238096,0.0,0.0
9572,1.01,AGSL,SI2,G,Excellent,62.5,,6.4x6.42x4.01,Very good,Russia,Oval,Excellent,57.0,2,,6235.705543620377,6235.705543620377,0.0
9573,2.42,GemEx,VS2,E,Excellent,62.9,,8.52x8.59x5.38,Excellent,Russia,Oval,Excellent,57.0,2,,55837.255,0.0,0.0
9574,0.91,AGSL,I1,E,Good,62.8,,6.03x6.13x3.82,Excellent,DR Congo,Pear,Very good,61.0,2,,4219.075,0.0,0.0
9575,2.41,AGSL,SI2,H,Excellent,61.5,,8.53x8.57x5.26,Excellent,Russia,Asscher,Excellent,60.0,2,,29617.354166666664,29617.354166666664,0.0
9576,0.9,AGSL,VS2,E,Very good,62.7,,6.1x6.18x3.85,Very good,South Africa,Princess,Good,61.0,1,,6468.970833333333,6468.970833333333,0.0
9577,0.9,AGSL,SI2,D,Good,64.6,,5.99x6.01x3.88,Very good,Botswana,Round,Excellent,,2,,6414.3125,6414.3125,0.0
9578,0.9,AGSL,SI2,E,Very good,62.6,,6.13x6.14x3.84,Excellent,DR Congo,Round,Excellent,57.0,2,,5757.580714285715,0.0,0.0
9579,0.9,AGSL,SI2,G,Very good,64.0,,6.05x6.1x3.88,Excellent,Other/Unknown,Oval ,Very good,54.0,1,,4457.900238095238,4457.900238095238,0.0
